"simulação","valor_final","retorno_percentual","drawdown_percentual"
288,11557.7665595918,15.5776655959181,16.6039280878452
289,7090.63191566416,-29.0936808433584,46.3070602269454
290,12110.5512327974,21.1055123279737,17.6080073361912
291,12307.3177117215,23.0731771172153,31.6895377735917
292,11238.9371842003,12.3893718420035,18.2201875984334
293,14916.154540945,49.1615454094505,19.0630154377986
294,11208.8806425525,12.0888064255247,20.082957439256
295,13083.5422416778,30.8354224167781,17.6532899502265
296,11226.0559792232,12.2605597922315,17.0621484340861
297,6296.06513221817,-37.0393486778183,46.0556908234063
298,10117.7202234954,1.17720223495426,20.8976942668446
299,14478.5575152297,44.7855751522965,15.3065257851236
300,11389.4465554757,13.8944655547574,24.3696082325002
301,14092.6482433865,40.9264824338645,17.717301694642
302,14855.9585763741,48.5595857637412,20.9688449273715
303,12471.3360050361,24.7133600503606,19.116093383816
304,17311.4930653926,73.1149306539259,16.4907588558978
305,12202.2556906485,22.0225569064853,14.1074551291005
306,11524.6457565924,15.2464575659239,21.5085472295152
307,11071.1387771387,10.7113877713867,23.5033900555404
308,10936.2561092735,9.36256109273481,16.9093681501512
309,12948.9509636411,29.4895096364106,16.0318848205701
310,10124.9176683588,1.24917668358768,31.6437508257967
311,9521.56915385536,-4.7843084614464,25.6451963012191
312,7111.31760341649,-28.8868239658351,40.9509557787259
313,17958.8149975276,79.588149975276,16.1368832258871
314,14604.1849238048,46.0418492380476,18.3862965596509
315,14767.4455347545,47.6744553475452,18.7039558872783
316,10044.9779646354,0.449779646353754,17.5927494121021
317,8784.10680291249,-12.1589319708751,27.3815215981089
318,12503.1919011799,25.0319190117989,13.6278131821416
319,10857.1779962383,8.57177996238301,18.4499142236119
320,8832.0067495775,-11.679932504225,32.8630404155573
321,9869.07204607034,-1.30927953929657,19.7751490636356
322,11724.5377685398,17.2453776853978,16.2959698169072
323,10536.5980487601,5.36598048760071,26.8685833474535
324,6461.50762528288,-35.3849237471712,47.3875235235798
325,14062.9727255319,40.6297272553193,21.2914970860646
326,16472.6875387584,64.7268753875844,15.9552090796368
327,12130.0941250697,21.3009412506965,18.4308019781441
328,12660.2275387028,26.602275387028,27.5460917977285
329,9624.43184765019,-3.7556815234981,23.4171807623935
330,14546.1783048245,45.4617830482454,14.8968087915996
331,12583.3077714277,25.833077714277,22.2863067124313
332,15246.3718055729,52.463718055729,13.4570831441531
333,9387.81696841112,-6.12183031588879,30.0408706662902
334,7468.11334190544,-25.3188665809456,33.7926729168402
335,19140.6763057768,91.406763057768,8.60309010605038
336,11780.305303434,17.8030530343399,18.9413919500853
337,10647.7159736775,6.47715973677507,23.3979636701354
338,14689.4955736835,46.8949557368348,13.1061946695827
339,16731.8216372824,67.3182163728242,16.2849030136817
340,9725.00298132268,-2.74997018677318,19.3234266146429
341,10116.6552463687,1.16655246368671,24.9147893534198
342,9885.4197015846,-1.145802984154,14.3070381205015
343,12108.1209878021,21.0812098780215,19.7562087867383
344,12562.8035221495,25.6280352214947,29.2288435001227
345,13107.6163584078,31.0761635840783,24.5191786233753
346,12113.3193849399,21.1331938493987,16.3876655096961
347,12498.6010649522,24.9860106495218,19.7992467748509
348,12299.9101516591,22.9991015165906,13.3953003937174
349,8522.99536763285,-14.7700463236715,33.1435500735053
350,11824.1821763758,18.2418217637584,21.1903806469864
351,10786.1432436391,7.8614324363907,27.0902926168509
352,9111.60838051336,-8.88391619486642,24.7423961893811
353,12375.0574373316,23.7505743733156,27.8716708795602
354,17123.3855247106,71.233855247106,12.3074841930594
355,12429.5279227728,24.2952792277278,20.7899288421104
356,21669.5356520663,116.695356520663,12.7433763411233
357,11084.4059865305,10.8440598653048,29.7000619101271
358,13884.3151489564,38.8431514895643,21.2771719192936
359,15929.2155311739,59.2921553117391,22.9674963033346
360,9335.05205293703,-6.6494794706297,38.8791390842694
361,14013.1608365561,40.1316083655606,14.4602713165859
362,9680.19780462702,-3.19802195372983,19.9933365768221
363,16651.7201937224,66.5172019372237,17.4429785474348
364,11638.7241982822,16.3872419828218,20.4744172256153
365,11080.9957133929,10.8099571339289,15.7934150802419
366,16597.1377838655,65.9713778386549,20.669106902541
367,8329.5284951116,-16.704715048884,40.9028338218558
368,14869.2385081787,48.6923850817873,18.3727777749067
369,10506.121343015,5.06121343014991,21.0831785625219
370,8650.74027382056,-13.4925972617944,34.5718568106193
371,15213.913715912,52.1391371591198,15.5060206964424
372,9084.86276640429,-9.1513723359571,26.9364070907579
373,26770.0870510132,167.700870510132,11.0210603829694
374,13480.1799946492,34.8017999464924,26.4055859481888
375,10491.589881459,4.91589881459029,18.5100379711162
376,6946.88478515574,-30.5311521484426,45.1763000619529
377,9772.84196932747,-2.27158030672534,30.9458477614423
378,14597.6166555976,45.9761665559763,12.1666073749726
379,11036.506466525,10.3650646652505,33.242262022121
380,7740.21471612977,-22.5978528387023,29.7186677679799
381,7416.58515938617,-25.8341484061383,29.2654825377273
382,12214.6558390123,22.1465583901229,11.6999067559655
383,18558.2776660833,85.582776660833,26.388676862954
384,9083.65863399548,-9.16341366004515,19.2852046509431
385,14784.08348141,47.8408348141002,18.4918556275313
386,15945.2878686575,59.4528786865749,13.8519221593024
387,16095.6907782031,60.9569077820306,16.9836799311261
388,17414.5718423626,74.1457184236259,20.7101301635367
389,11829.2093680987,18.2920936809869,17.3240412322891
